date,command,MAP,date_error,data_error,tape,file,phy_record,log_record,station
1970-03-28T02:25:22.859000Z,4,1,-,-,1,31,267,40,12
1970-03-28T02:27:38.101000Z,4,1,-,-,1,31,268,94,12
1970-03-28T13:56:22.939000Z,4,1,-,-,1,31,523,47,12
1970-03-28T13:58:22.483000Z,4,1,-,-,1,31,523,45,12
1970-03-30T15:25:27.856000Z,4,1,-,-,1,34,24,81,12
1970-03-30T15:26:33.664000Z,4,1,-,-,1,34,25,20,12
1970-03-31T14:16:42.749000Z,4,1,-,-,1,34,521,5,12
1970-03-31T14:17:42.520000Z,4,1,-,-,1,34,521,4,12
1970-04-02T15:25:02.815000Z,4,1,-,-,1,37,14,93,12
1970-04-02T15:26:02.587000Z,4,1,-,-,1,37,15,22,12
1970-04-03T15:26:43.019000Z,4,1,-,-,1,38,25,83,12
1970-04-03T15:27:42.790000Z,4,1,-,-,1,38,25,82,12
1970-04-04T15:23:31.622000Z,4,0,-,-,1,39,24,26,12
1970-04-04T15:25:02.788000Z,4,1,-,-,1,39,24,77,12
1970-04-04T15:26:03.163000Z,4,1,-,-,1,39,25,7,12
1970-04-06T15:26:03.134000Z,4,1,-,-,1,41,25,27,12
1970-04-06T15:27:13.169000Z,4,1,-,-,1,41,25,43,12
1970-04-08T15:25:18.444000Z,4,1,-,-,1,43,24,12,12
1970-04-08T15:26:27.875000Z,4,1,-,-,1,43,25,57,12
1970-04-08T15:27:48.173000Z,4,1,-,-,1,43,25,90,12
1970-04-08T15:28:48.548000Z,4,1,-,-,1,43,26,20,12
1970-04-08T21:50:25.080000Z,4,0,-,-,1,43,166,20,12
1970-04-09T01:34:58.936000Z,4,0,-,*,1,43,249,25,12
1970-04-09T12:23:22.054000Z,4,0,-,-,1,43,488,62,12
1970-04-10T15:23:33.365000Z,4,1,-,-,1,45,24,32,12
1970-04-10T15:30:48.667000Z,4,1,-,-,1,45,26,13,12
1970-04-12T15:27:38.444000Z,4,1,-,-,1,47,25,45,12
1970-04-12T15:28:38.215000Z,4,1,-,-,1,47,25,44,12
1970-04-13T14:34:03.454000Z,4,1,-,-,1,48,5,83,12
1970-04-13T14:42:52.337000Z,4,1,-,-,1,48,8,49,12
1970-04-15T00:46:53.479000Z,4,1,-,-,1,49,230,49,12
1970-04-15T00:47:23.063000Z,4,1,-,-,1,49,230,98,12
1970-04-16T01:21:18.242000Z,4,1,-,-,1,50,230,52,12
1970-04-16T01:21:53.259000Z,4,1,-,-,1,50,230,10,12
1970-04-16T08:09:32.343000Z,4,0,-,-,1,50,380,66,12
1970-04-16T21:12:01.098000Z,4,1,-,-,1,51,152,82,12
1970-04-16T21:30:52.525000Z,4,1,-,-,1,51,159,51,12
1970-04-17T01:05:55.263000Z,4,0,-,-,1,51,239,2,12
1970-04-17T08:53:18.891000Z,4,1,-,-,1,51,411,5,12
1970-04-17T08:54:02.965000Z,4,1,-,-,1,51,411,78,12
1970-04-17T17:18:28.476000Z,4,1,-,-,1,52,66,90,12
1970-04-17T17:19:38.512000Z,4,1,-,-,1,52,66,6,12
1970-04-18T07:06:27.901000Z,4,1,-,-,1,52,371,21,12
1970-04-18T07:07:22.843000Z,4,1,-,-,1,52,371,12,12
1970-04-19T15:25:53.235000Z,4,1,-,-,1,54,24,4,12
1970-04-19T15:27:23.195000Z,4,1,-,-,1,54,25,83,12
1970-04-20T15:29:23.223000Z,4,1,-,-,1,55,26,12,12
1970-04-20T15:31:43.295000Z,4,1,-,-,1,55,26,44,12
1970-04-21T15:25:48.334000Z,4,1,-,-,1,56,24,96,12
1970-04-21T15:27:23.729000Z,4,1,-,-,1,56,25,84,12
1970-04-22T15:31:22.901000Z,4,1,-,-,1,57,26,10,12
1970-04-22T15:36:33.234000Z,4,1,-,-,1,57,28,84,12
1970-04-23T02:44:27.934000Z,4,1,-,-,1,57,275,11,12
1970-04-23T02:46:27.479000Z,4,1,-,-,1,57,275,9,12
1970-04-23T15:17:23.160000Z,4,1,-,-,1,58,21,59,12
1970-04-23T15:19:22.705000Z,4,1,-,-,1,58,22,87,12
1970-04-24T01:59:23.109000Z,4,1,-,-,1,58,258,77,12
1970-04-24T02:00:22.881000Z,4,1,-,-,1,58,258,76,12
1970-04-24T15:26:38.023000Z,4,1,-,-,1,59,25,8,12
1970-04-24T15:28:23.078000Z,4,1,-,-,1,59,25,82,12
1970-04-25T01:56:23.168000Z,4,1,-,-,1,59,257,34,12
1970-04-25T01:58:22.712000Z,4,1,-,-,1,59,257,32,12
1970-04-25T15:25:22.462000Z,4,1,-,-,1,60,24,53,12
1970-04-25T15:27:22.610000Z,4,1,-,-,1,60,25,82,12
1970-04-26T01:52:13.055000Z,4,1,-,-,1,60,256,6,12
1970-04-26T01:54:22.863000Z,4,1,-,-,1,60,256,21,12
1970-04-26T15:25:03.451000Z,4,1,-,-,1,61,24,22,12
1970-04-26T15:26:03.223000Z,4,1,-,-,1,61,24,21,12
1970-04-28T00:11:02.757000Z,4,1,-,-,1,62,217,29,12
1970-04-28T00:12:03.138000Z,4,1,-,-,1,62,218,59,12
1970-04-28T15:25:02.758000Z,4,1,-,-,1,63,24,21,12
1970-04-28T15:26:02.529000Z,4,1,-,-,1,63,24,20,12
1970-04-28T19:06:53.061000Z,4,0,-,-,1,63,102,49,12
